UMLS:C4310656	MONDO:0014981
UMLS:C0206644	MONDO:0002989
UMLS:C4310657	MONDO:0014980
UMLS:C0035865	MONDO:0000344
UMLS:C0276286	MONDO:0000342
UMLS:C0276386	MONDO:0000345
UMLS:C1865044	MONDO:0012309
UMLS:C1865071	MONDO:0012306
UMLS:C1291373	MONDO:0014969
UMLS:C4310667	MONDO:0014968
UMLS:C1865070	MONDO:0012307
UMLS:C1865022	MONDO:0012311
UMLS:C4310663	MONDO:0014974
UMLS:C1865020	MONDO:0012312
UMLS:C4310664	MONDO:0014973
UMLS:C4311046	MONDO:0014972
UMLS:C4310665	MONDO:0014971
UMLS:C1865040	MONDO:0012310
UMLS:C4305277	MONDO:0012315
UMLS:C4310659	MONDO:0014978
UMLS:C1864997	MONDO:0012316
UMLS:C4310660	MONDO:0014977
UMLS:C4310661	MONDO:0014976
UMLS:C1865019	MONDO:0012313
UMLS:C1865018	MONDO:0012314
UMLS:C4310662	MONDO:0014975
UMLS:C1812609	MONDO:0000338
UMLS:C4310666	MONDO:0014970
UMLS:C0559458	MONDO:0002900
UMLS:C0346251	MONDO:0002930
UMLS:C0878693	MONDO:0002931
UMLS:C0029464	MONDO:0002933
UMLS:C4310717	MONDO:0014916
UMLS:C4310718	MONDO:0014915
UMLS:C4310833	MONDO:0014914
UMLS:C4310714	MONDO:0014919
UMLS:C4310715	MONDO:0014918
UMLS:C4310716	MONDO:0014917
UMLS:C4310710	MONDO:0014923
UMLS:C4310711	MONDO:0014922
UMLS:C4310712	MONDO:0014921
UMLS:C4310713	MONDO:0014920
UMLS:C0205945	MONDO:0002927
UMLS:C1334603	MONDO:0002928
UMLS:C1519849	MONDO:0002923
UMLS:C1334620	MONDO:0002924
UMLS:C0206651	MONDO:0002926
UMLS:C0349534	MONDO:0002941
UMLS:C1333491	MONDO:0002943
UMLS:C1333492	MONDO:0002944
UMLS:C1332269	MONDO:0002940
UMLS:C4310726	MONDO:0014905
UMLS:C4310727	MONDO:0014904
UMLS:C4310728	MONDO:0014903
UMLS:C4310722	MONDO:0014909
UMLS:C4310723	MONDO:0014908
UMLS:C4310724	MONDO:0014907
UMLS:C4310725	MONDO:0014906
UMLS:C4310614	MONDO:0014912
UMLS:C4310720	MONDO:0014911
UMLS:C4310721	MONDO:0014910
UMLS:C1368275	MONDO:0002939
UMLS:C1334267	MONDO:0002934
UMLS:C1518949	MONDO:0002935
UMLS:C1335934	MONDO:0002936
UMLS:C1304300	MONDO:0002937
UMLS:C0747533	MONDO:0002910
UMLS:C0677865	MONDO:0002911
UMLS:C4310730	MONDO:0014901
UMLS:C0020456	MONDO:0002909
UMLS:C4310731	MONDO:0014900
UMLS:C0026884	MONDO:0002905
UMLS:C0752143	MONDO:0002907
UMLS:C1257958	MONDO:0002908
UMLS:C0005806	MONDO:0002901
UMLS:C0334495	MONDO:0002920
UMLS:C0752282	MONDO:0002921
UMLS:C0034212	MONDO:0002922
UMLS:C1332612	MONDO:0002916
UMLS:C0554472	MONDO:0002917
UMLS:C0431121	MONDO:0002918
UMLS:C1335448	MONDO:0002919
UMLS:C1332192	MONDO:0002912
UMLS:C0007762	MONDO:0002913
UMLS:C1332951	MONDO:0002914
UMLS:C1332973	MONDO:0002915
UMLS:C0085581	MONDO:0600029
UMLS:C0751356	MONDO:0600023
UMLS:C0394005	MONDO:0000397
UMLS:C0338596	MONDO:0000396
UMLS:C0339510	MONDO:0000390
UMLS:C4075997	MONDO:0024360
UMLS:C3146244	MONDO:0000395
UMLS:C3661483	MONDO:0000393
UMLS:C1864941	MONDO:0012388
UMLS:C1864940	MONDO:0012389
UMLS:C1864943	MONDO:0012386
UMLS:C1864957	MONDO:0012380
UMLS:C1864952	MONDO:0012381
UMLS:C1864946	MONDO:0012384
UMLS:C1864944	MONDO:0012385
UMLS:C4303473	MONDO:0012382
UMLS:C1864947	MONDO:0012383
UMLS:C0276253	MONDO:0024354
UMLS:C3662033	MONDO:0024357
UMLS:C0751762	MONDO:0024356
UMLS:C3662057	MONDO:0024359
UMLS:C1274781	MONDO:0024350
UMLS:C1864964	MONDO:0012375
UMLS:C1864966	MONDO:0012373
UMLS:C1864965	MONDO:0012374
UMLS:C1860991	MONDO:0012371
UMLS:C0334410	MONDO:0000377
UMLS:C0406312	MONDO:0024344
UMLS:C3164456	MONDO:0000376
UMLS:C2939445	MONDO:0000375
UMLS:C0343100	MONDO:0024346
UMLS:C0334406	MONDO:0000378
UMLS:C0347098	MONDO:0000372
UMLS:C0347073	MONDO:0000371
UMLS:C1335765	MONDO:0024341
UMLS:C1835924	MONDO:0012366
UMLS:C1835923	MONDO:0012367
UMLS:C1835926	MONDO:0012364
UMLS:C1835925	MONDO:0012365
UMLS:C1835922	MONDO:0012368
UMLS:C1835928	MONDO:0012362
UMLS:C1835927	MONDO:0012363
UMLS:C2940785	MONDO:0012360
UMLS:C0271901	MONDO:0000387
UMLS:C0035457	MONDO:0024332
UMLS:C2987127	MONDO:0000386
